produto,doadores,receptores,transferencia_total
7703 - CAMISA M/M SILK REF:6028,"DELICADA RP - LOJA: 35.0
DELICADA PAVUNA: 79.0",DELICADA ITAGUAI - LOJA: -29.0,-29.0
8473 - REGATA LISA VISCOLINHO REF:1800,"DELICADA RP - LOJA: 72.0
DELICADA - SJM: 4.0","DELICADA ITAGUAI - LOJA: -16.0
DELICADA PAVUNA: -11.0",-27.0
7773 - BLUSA M/M GOLA V FEM REF:2483,"DELICADA ITAGUAI - LOJA: 181.0
DELICADA PAVUNA: 120.0
DELICADA - SJM: 147.0",DELICADA RP - LOJA: -27.0,-27.0
7246 - CROPPED MM BASICO REF:706,"DELICADA RP - LOJA: 57.0
DELICADA - SJM: 38.0",DELICADA ITAGUAI - LOJA: -26.0,-26.0
7051 - CAMISOLA LISA REF:089,"DELICADA ITAGUAI - LOJA: 33.0
DELICADA PAVUNA: 12.0
DELICADA - SJM: 54.0",DELICADA RP - LOJA: -26.0,-26.0
6076 - BLUSA SINO DUNA LISA REF:1906,"DELICADA RP - LOJA: 14.0
DELICADA PAVUNA: 14.0",DELICADA ITAGUAI - LOJA: -25.0,-25.0
8155 - BLUSA EST PEDRINHA REF:WN168,DELICADA - SJM: 24.0,"DELICADA RP - LOJA: -3.0
DELICADA ITAGUAI - LOJA: -20.0
DELICADA PAVUNA: -1.0",-24.0
8154 - BLUSA LESE REF:TT2331,"DELICADA PAVUNA: 17.0
DELICADA - SJM: 20.0","DELICADA RP - LOJA: -16.0
DELICADA ITAGUAI - LOJA: -7.0",-23.0
7399 - CALCA BASICA EST REF:CL469,"DELICADA ITAGUAI - LOJA: 129.0
DELICADA PAVUNA: 0.0",DELICADA RP - LOJA: -22.0,-22.0
8310 - VESTIDO BABADO EST REF:140L,"DELICADA RP - LOJA: 4.0
DELICADA ITAGUAI - LOJA: 4.0
DELICADA - SJM: 15.0",DELICADA PAVUNA: -22.0,-22.0
7628 - SHORT 4 ESTACAO ZR REF:2829,"DELICADA ITAGUAI - LOJA: 7.0
DELICADA PAVUNA: 12.0
DELICADA - SJM: 85.0",DELICADA RP - LOJA: -22.0,-22.0
8121 - CROPPED LISO ALCA REF:7294,"DELICADA ITAGUAI - LOJA: 37.0
DELICADA PAVUNA: 20.0",DELICADA RP - LOJA: -22.0,-22.0
8540 - SHORT DOLL CANELADO BOTOES REF:218E,"DELICADA RP - LOJA: 53.0
DELICADA ITAGUAI - LOJA: 38.0
DELICADA - SJM: 44.0",DELICADA PAVUNA: -21.0,-21.0
8077 - CALCA MASC JEANS VW,DELICADA PAVUNA: 21.0,"DELICADA RP - LOJA: -6.0
DELICADA ITAGUAI - LOJA: -14.0",-20.0
8095 - SHORT EST VERAO REF:0107304,"DELICADA ITAGUAI - LOJA: 14.0
DELICADA PAVUNA: 10.0
DELICADA - SJM: 19.0",DELICADA RP - LOJA: -20.0,-20.0
7386 - SHORT FEM LEVANTA BUMBUM REF:210MD,"DELICADA RP - LOJA: 118.0
DELICADA PAVUNA: 1.0","DELICADA ITAGUAI - LOJA: -3.0
DELICADA - SJM: -16.0",-19.0
"6147 - CAMISA POLO MASC REF:5232C,5232B","DELICADA RP - LOJA: 3.0
DELICADA PAVUNA: 22.0",DELICADA ITAGUAI - LOJA: -19.0,-19.0
"7734 - CALCA FITNESS PREMIUM REF:CL549,330","DELICADA RP - LOJA: 20.0
DELICADA ITAGUAI - LOJA: 10.0
DELICADA - SJM: 57.0",DELICADA PAVUNA: -18.0,-18.0
8058 - N/A,DELICADA ITAGUAI - LOJA: 21.0,DELICADA RP - LOJA: -18.0,-18.0
7389 - TOP ALCA COLORIDO REF:9009111,"DELICADA ITAGUAI - LOJA: 8.0
DELICADA - SJM: 70.0","DELICADA RP - LOJA: -6.0
DELICADA PAVUNA: -11.0",-17.0
8093 - CROPPED LISO ALCA REF:7307,"DELICADA ITAGUAI - LOJA: 25.0
DELICADA PAVUNA: 30.0
DELICADA - SJM: 15.0",DELICADA RP - LOJA: -16.0,-16.0
8139 - CALCA PANT CORRENTE,"DELICADA RP - LOJA: 44.0
DELICADA ITAGUAI - LOJA: 10.0","DELICADA PAVUNA: -6.0
DELICADA - SJM: -10.0",-16.0
4549 - CALCA QUADRADA REF:93,"DELICADA RP - LOJA: 16.0
DELICADA - SJM: 14.0",DELICADA ITAGUAI - LOJA: -16.0,-16.0
5619 - CROPPED LACO ALCA REF:034,"DELICADA RP - LOJA: 8.0
DELICADA ITAGUAI - LOJA: 12.0","DELICADA PAVUNA: -4.0
DELICADA - SJM: -12.0",-16.0
5732 - CROPPED MANGA REF:304,"DELICADA RP - LOJA: 4.0
DELICADA - SJM: 195.0",DELICADA PAVUNA: -16.0,-16.0
7562 - BERMUDA JEANS MAX,DELICADA PAVUNA: 18.0,"DELICADA RP - LOJA: -11.0
DELICADA ITAGUAI - LOJA: -5.0",-16.0
5113 - BLUSA VISCO ESTAMPADA REF:1443,"DELICADA RP - LOJA: 42.0
DELICADA ITAGUAI - LOJA: 11.0","DELICADA PAVUNA: -14.0
DELICADA - SJM: -2.0",-16.0
7840 - BLUSA CHULIADA APLIQUE,"DELICADA RP - LOJA: 11.0
DELICADA ITAGUAI - LOJA: 6.0",DELICADA PAVUNA: -15.0,-15.0
"1045 - CALCA MAS JEANS JEZZ REF:207079,204011,208352","DELICADA RP - LOJA: 13.0
DELICADA PAVUNA: 4.0",DELICADA ITAGUAI - LOJA: -14.0,-14.0
7711 - CROPPED EST FEM REF:30760,"DELICADA ITAGUAI - LOJA: 26.0
DELICADA PAVUNA: 79.0","DELICADA RP - LOJA: -4.0
DELICADA - SJM: -10.0",-14.0
1840 - CALCINHA VIVIAN,DELICADA PAVUNA: 208.0,"DELICADA ITAGUAI - LOJA: -12.0
DELICADA - SJM: -2.0",-14.0
8098 - CROPPED LISO FEM REF:7364,"DELICADA ITAGUAI - LOJA: 27.0
DELICADA PAVUNA: 5.0",DELICADA RP - LOJA: -14.0,-14.0
8134 - SHORT DET AMARRACAO REF:7320,DELICADA ITAGUAI - LOJA: 33.0,DELICADA RP - LOJA: -14.0,-14.0
8100 - MACAQUINHO LISO DUNA REF:7344,"DELICADA ITAGUAI - LOJA: 17.0
DELICADA - SJM: 16.0","DELICADA RP - LOJA: -10.0
DELICADA PAVUNA: -4.0",-14.0
8153 - BLUSA LESE REF:TT2330,DELICADA RP - LOJA: 17.0,"DELICADA ITAGUAI - LOJA: -12.0
DELICADA PAVUNA: -2.0",-14.0
8027 - REGATA RIBANA REF:3171,"DELICADA ITAGUAI - LOJA: 36.0
DELICADA PAVUNA: 9.0",DELICADA RP - LOJA: -14.0,-14.0
8146 - MACAQUINHO REF: MC223,DELICADA - SJM: 34.0,"DELICADA RP - LOJA: -6.0
DELICADA PAVUNA: -7.0",-13.0
8196 - SHORT EST FEM REF:SD940,"DELICADA ITAGUAI - LOJA: 23.0
DELICADA - SJM: 1.0","DELICADA RP - LOJA: -6.0
DELICADA PAVUNA: -6.0",-12.0
8202 - VESTIDO LISO CANELADO REF:45267,"DELICADA PAVUNA: 17.0
DELICADA - SJM: 0.0",DELICADA ITAGUAI - LOJA: -12.0,-12.0
7559 - CALCA JEANS MASC TEEZZ/MAX,"DELICADA RP - LOJA: 12.0
DELICADA PAVUNA: 0.0",DELICADA ITAGUAI - LOJA: -12.0,-12.0
"7400 - CALCA SUPLEX MESCLA E PRETA REF:LG001L, LG001M","DELICADA RP - LOJA: 43.0
DELICADA PAVUNA: 10.0",DELICADA ITAGUAI - LOJA: -12.0,-12.0
"2887 - BERMUDA MASC STREET REF:199620,199528,198330,19059",DELICADA PAVUNA: 12.0,DELICADA RP - LOJA: -12.0,-12.0
8143 - CALCA FEM BOLSO,"DELICADA PAVUNA: 1.0
DELICADA - SJM: 15.0","DELICADA RP - LOJA: -1.0
DELICADA ITAGUAI - LOJA: -10.0",-11.0
"6990 - TOP FITNESS DIVERSOS REF:504,505,483,516","DELICADA RP - LOJA: 8.0
DELICADA ITAGUAI - LOJA: 82.0",DELICADA PAVUNA: -11.0,-11.0
