produto,doadores,receptores,transferencia_total
7414 - CALCA CANELADA REF:23192,DELICADA - SJM: 7.0,DELICADA PAVUNA: -2.0,-2.0
7422 - SHORT JEANS REF:51101C,DELICADA RP - LOJA: 7.0,DELICADA - SJM: -2.0,-2.0
7561 - BERMUDA SARJA MASC,"DELICADA RP - LOJA: 1.0
DELICADA PAVUNA: 29.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
7644 - CONJ ALFAIATARIA BICOLOR REF:3048,"DELICADA RP - LOJA: 21.0
DELICADA PAVUNA: 8.0
DELICADA - SJM: 38.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
1540 - CONJ SHORT + KIMONO REF:048+049,"DELICADA RP - LOJA: 2.0
DELICADA PAVUNA: 10.0
DELICADA - SJM: 0.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
7719 - SHORT JEANS FEM BRILHO REF: 7286,DELICADA PAVUNA: 7.0,DELICADA RP - LOJA: -2.0,-2.0
"7159 - COLETE BOTOES LISO TAM P,M,G REF:2631","DELICADA RP - LOJA: 18.0
DELICADA ITAGUAI - LOJA: 22.0",DELICADA PAVUNA: -1.0,-1.0
7054 - VESTIDO LONGO LISO ALCA REG REF:154L,"DELICADA RP - LOJA: 34.0
DELICADA - SJM: 10.0",DELICADA PAVUNA: -1.0,-1.0
7723 - SHORT JEANS FEM DET BORDADO REF:8512,"DELICADA ITAGUAI - LOJA: 2.0
DELICADA PAVUNA: 7.0",DELICADA RP - LOJA: -1.0,-1.0
7421 - SHORT FEM REF:100398,DELICADA RP - LOJA: 17.0,DELICADA - SJM: -1.0,-1.0
1806 - CAMISOLA BOJO DE RENDA,DELICADA ITAGUAI - LOJA: 5.0,DELICADA RP - LOJA: -1.0,-1.0
